method,total,NK,CD8+ T,CD4+ T naive,CD4+ T activated,Naive CD20+ B,Normoblast,B1 B,CD14+ Mono,ILC,cDC2,Erythroblast,pDC,MK/E prog,ID2-hi myeloid prog,CD16+ Mono,Proerythroblast,Transitional B,Lymph prog,G/M prog,Plasma cell,HSC,CD8+ T naive
LigerOnline,0.358053111896736,0.0007267441860465116,0.6690064794816415,0.33467417538214,0.2803850782190133,0.8209876543209876,0.0,0.022026431718061675,0.7924256951102588,0.0,0.0,0.012474012474012476,0.0,0.0,0.0,0.13846153846153847,0.0,0.03389830508474576,0.0,0.3117505995203837,0.0,0.0,0.6349693251533742
LigerOnline,0.39620159500123325,0.0007267441860465116,0.6603671706263499,0.6685438455349959,0.18531889290012032,0.8065843621399177,0.0,0.0881057268722467,0.923777564717162,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.02824858757062147,0.017241379310344827,0.28776978417266186,0.0,0.0,0.3803680981595092
LigerOnline,0.3901175696785333,0.0014534883720930232,0.6792656587473002,0.4931617055510861,0.19614921780986766,0.7633744855967078,0.0,0.07048458149779736,0.9362416107382552,0.029017857142857144,0.00625,0.004158004158004158,0.0,0.0,0.0,0.09230769230769233,0.0,0.04519774011299435,0.0,0.33093525179856115,0.04166666666666666,0.0,0.4969325153374233
LigerOnline,0.3964482446764778,0.0007267441860465116,0.7278617710583153,0.3555913113435237,0.3922984356197353,0.8106995884773662,0.0,0.02643171806167401,0.9333652924256952,0.002232142857142857,0.0,0.004158004158004158,0.002336448598130841,0.0,0.0,0.18974358974358974,0.0,0.03389830508474576,0.0,0.2254196642685851,0.0,0.0,0.5337423312883436
LigerOnline,0.3924196333141495,0.0,0.6625269978401728,0.4529364440868866,0.29482551143200963,0.7860082304526749,0.0,0.09251101321585904,0.9391179290508148,0.015625,0.0,0.004158004158004158,0.002336448598130841,0.005813953488372093,0.0,0.13333333333333333,0.0,0.059322033898305086,0.0,0.18705035971223025,0.0,0.0,0.656441717791411
LigerOnline,0.33404587683959547,0.0,0.43628509719222464,0.3958165728077233,0.16125150421179302,0.7962962962962963,0.0,0.022026431718061675,0.839405560882071,0.0,0.0,0.0,0.004672897196261682,0.005813953488372093,0.0,0.15897435897435894,0.0,0.03672316384180791,0.017241379310344827,0.3669064748201439,0.0,0.0,0.7699386503067485
LigerOnline (UMAP),0.3615062073501603,0.0007267441860465116,0.5340172786177105,0.3515687851971038,0.4007220216606498,0.7427983539094649,0.0,0.14096916299559473,0.9304889741131352,0.0,0.0,0.002079002079002079,0.004672897196261682,0.0,0.0,0.1076923076923077,0.0,0.03389830508474576,0.008620689655172414,0.2853717026378897,0.16666666666666666,0.0,0.3711656441717792
LigerOnline (UMAP),0.36306832196004274,0.0,0.6225701943844493,0.4352373290426388,0.17448856799037304,0.7304526748971193,0.0,0.19823788546255505,0.8710450623202302,0.017857142857142856,0.0,0.0,0.0,0.02906976744186046,0.0,0.12307692307692307,0.0,0.02259887005649717,0.0,0.3669064748201439,0.04166666666666666,0.0,0.42024539877300615
LigerOnline (UMAP),0.33856778755241307,0.0007267441860465116,0.5561555075593952,0.3258246178600161,0.246690734055355,0.7572016460905351,0.0,0.1277533039647577,0.7823585810162992,0.0,0.0,0.0062370062370062365,0.002336448598130841,0.0,0.0,0.24615384615384614,0.0,0.02824858757062147,0.017241379310344827,0.2517985611510791,0.0,0.0,0.7024539877300614
LigerOnline (UMAP),0.3587108443640549,0.0007267441860465116,0.572354211663067,0.5317779565567177,0.14921780986762934,0.6502057613168725,0.0,0.22466960352422907,0.8662511984659635,0.0,0.0,0.002079002079002079,0.002336448598130841,0.0,0.0,0.1153846153846154,0.0,0.02824858757062147,0.01293103448275862,0.2853717026378897,0.0,0.0,0.5030674846625767
LigerOnline (UMAP),0.38797993915974677,0.0014534883720930232,0.6069114470842333,0.7377312952534192,0.08543922984356198,0.7613168724279835,0.0,0.10572687224669604,0.9132310642377756,0.011160714285714286,0.0,0.008316008316008316,0.002336448598130841,0.0,0.0,0.15384615384615385,0.0,0.05367231638418079,0.004310344827586207,0.2829736211031175,0.20833333333333331,0.0,0.2852760736196319
