p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.3709E-279,0.308795585,0.827,0.747,4.7362E-275,6-7,S100A4
1.1564E-271,0.369589569,0.512,0.319,3.9951E-267,6-7,OAS2
8.8541E-271,0.374795521,0.537,0.357,3.0589E-266,6-7,CTSA
2.0375E-268,0.508469779,0.494,0.333,7.0391E-264,6-7,CD163
1.2296E-262,0.374991328,0.658,0.497,4.2479E-258,6-7,CD36
5.0937E-262,0.404813959,0.406,0.231,1.7598E-257,6-7,EPSTI1
6.2848E-259,0.404869995,0.606,0.437,2.1713E-254,6-7,IFI16
3.727E-256,0.377694609,0.401,0.229,1.2876E-251,6-7,AQP9
3.3367E-255,0.420419309,0.608,0.444,1.1528E-250,6-7,SLC11A1
1.9279E-254,0.347691902,0.258,0.118,6.6605E-250,6-7,CD82
7.711E-247,0.418676828,0.377,0.217,2.664E-242,6-7,CR1
9.5386E-247,0.340893449,0.685,0.552,3.2954E-242,6-7,IL17RA
2.3402E-246,0.360741817,0.339,0.182,8.0849E-242,6-7,LMNB1
1.6794E-240,0.433834633,0.344,0.19,5.802E-236,6-7,LY6E
1.2378E-238,0.321484983,0.303,0.152,4.2765E-234,6-7,FCGR1B
3.557E-236,0.542688449,0.354,0.199,1.2289E-231,6-7,IFIT3
1.0347E-233,0.40640343,0.479,0.319,3.5746E-229,6-7,MAPK14
1.5247E-232,0.315388535,0.771,0.675,5.2676E-228,6-7,ANXA2
1.1549E-224,0.335341337,0.251,0.119,3.99E-220,6-7,MARC1
4.3512E-223,0.373956425,0.542,0.385,1.5033E-218,6-7,CKAP4
7.4959E-218,0.375543157,0.619,0.486,2.5897E-213,6-7,LDHA
1.0823E-217,0.339104241,0.471,0.305,3.7391E-213,6-7,FAM129A
1.5239E-217,0.307419069,0.231,0.106,5.2648E-213,6-7,FPR2
4.616E-213,0.279848782,0.116,0.034,1.5947E-208,6-7,TNNT1
5.2524E-213,0.334346298,0.355,0.204,1.8146E-208,6-7,SLC16A3
1.2809E-212,0.290899066,0.248,0.12,4.4254E-208,6-7,FAM129B
8.5522E-212,0.274740605,0.112,0.031,2.9546E-207,6-7,IGHA1
1.2307E-210,0.310052699,0.463,0.289,4.2518E-206,6-7,OAS3
1.9475E-210,0.285533966,0.81,0.699,6.7282E-206,6-7,CD14
3.147E-201,0.336421115,0.616,0.484,1.0872E-196,6-7,PGD
1.6349E-196,0.333368816,0.441,0.284,5.6481E-192,6-7,DDX60L
3.332E-196,0.257454346,0.787,0.707,1.1511E-191,6-7,CFL1
3.7441E-196,0.327177232,0.549,0.397,1.2935E-191,6-7,SPTLC2
1.4431E-193,0.294674267,0.271,0.142,4.9855E-189,6-7,IDH1
2.9032E-192,0.424132663,0.222,0.106,1.003E-187,6-7,IFIT1
9.5232E-189,0.369931513,0.494,0.34,3.2901E-184,6-7,MX2
1.885E-185,0.353674282,0.429,0.281,6.5125E-181,6-7,SAMD9L
9.526E-185,0.319921753,0.166,0.068,3.291E-180,6-7,RETN
1.9017E-182,0.333706796,0.494,0.348,6.57E-178,6-7,CCND3
1.9792E-180,0.375686427,0.438,0.299,6.8376E-176,6-7,GM2A
2.3879E-172,0.328944223,0.395,0.258,8.2496E-168,6-7,FAM198B
2.4236E-172,0.290231616,0.313,0.18,8.3729E-168,6-7,SLC25A37
1.0156E-169,0.256225889,0.792,0.732,3.5087E-165,6-7,ENO1
1.1305E-165,0.280807903,0.376,0.23,3.9057E-161,6-7,ISG15
1.4653E-163,0.307018175,0.656,0.544,5.0623E-159,6-7,FAM65B
9.3699E-163,0.252974884,0.802,0.724,3.2371E-158,6-7,RNF213
3.1428E-162,0.297915785,0.768,0.656,1.0858E-157,6-7,TYMP
6.9331E-160,0.328275206,0.321,0.194,2.3953E-155,6-7,IRF7
1.2692E-158,0.283778707,0.681,0.58,4.3847E-154,6-7,S100A10
7.2165E-157,0.283234368,0.367,0.234,2.4932E-152,6-7,CREB5
3.7492E-156,0.323501455,0.474,0.334,1.2953E-151,6-7,SHISA5
3.8635E-155,0.26695314,0.12,0.045,1.3348E-150,6-7,SLC39A8
2.5412E-154,0.306143728,0.25,0.138,8.7794E-150,6-7,HIP1
3.4478E-154,0.266863272,0.75,0.666,1.1912E-149,6-7,TSPO
2.1781E-153,0.288313821,0.434,0.299,7.525E-149,6-7,CAPG
5.8886E-152,0.550392376,0.243,0.138,2.0344E-147,6-7,THBS1
1.2249E-151,0.278686016,0.335,0.207,4.2319E-147,6-7,STAB1
1.076E-150,0.343701829,0.173,0.08,3.7174E-146,6-7,IGHM
4.4984E-150,0.279566203,0.335,0.209,1.5541E-145,6-7,TNFRSF1A
5.5838E-147,0.322616597,0.45,0.324,1.9291E-142,6-7,GCA
1.1296E-145,0.326587486,0.295,0.18,3.9025E-141,6-7,GIMAP7
1.6058E-143,0.288700822,0.425,0.292,5.5476E-139,6-7,RRBP1
2.8875E-141,0.385282236,0.222,0.121,9.9758E-137,6-7,RSAD2
1.3721E-137,0.254210294,0.345,0.22,4.7403E-133,6-7,IFNGR2
5.6434E-137,0.298132917,0.431,0.301,1.9497E-132,6-7,OAS1
1.4582E-133,0.28155753,0.499,0.372,5.0377E-129,6-7,MARCH1
2.1448E-132,0.251928615,0.473,0.337,7.4099E-128,6-7,LITAF
3.1488E-132,0.257984729,0.668,0.573,1.0879E-127,6-7,MEGF9
1.1466E-130,0.252291782,0.267,0.158,3.9612E-126,6-7,JAK3
3.5839E-130,0.267785536,0.591,0.462,1.2382E-125,6-7,SP100
1.6624E-127,0.260774265,0.389,0.264,5.7432E-123,6-7,PLSCR1
4.0623E-123,0.264570113,0.194,0.104,1.4034E-118,6-7,OASL
1.8714E-122,0.278368599,0.477,0.357,6.4654E-118,6-7,TLR2
3.5113E-122,0.298096158,0.64,0.514,1.2131E-117,6-7,IFITM2
5.2327E-121,0.250464301,0.387,0.266,1.8078E-116,6-7,HK3
2.1272E-119,0.285920156,0.572,0.459,7.349E-115,6-7,PTAFR
3.7299E-118,0.256376647,0.42,0.299,1.2886E-113,6-7,FLOT1
7.8628E-117,0.295919632,0.368,0.255,2.7165E-112,6-7,SAMD9
5.1316E-115,0.254078227,0.33,0.219,1.7729E-110,6-7,CRISPLD2
2.1207E-113,0.270111976,0.308,0.203,7.3266E-109,6-7,PHC2
2.1738E-113,0.259681274,0.417,0.303,7.5099E-109,6-7,TMEM167A
6.5846E-111,0.297607284,0.534,0.42,2.2748E-106,6-7,TNFSF10
2.9182E-107,0.319477571,0.45,0.337,1.0082E-102,6-7,TIMP1
2.2625E-106,0.2638579,0.606,0.506,7.8164E-102,6-7,CFLAR
2.0882E-104,0.256361367,0.211,0.124,7.2144E-100,6-7,HELZ2
4.07913E-97,0.253206739,0.51,0.406,1.40926E-92,6-7,BAZ1A
6.35327E-96,0.254962031,0.441,0.333,2.19493E-91,6-7,MSRB1
1.0941E-85,0.253400331,0.436,0.336,3.77991E-81,6-7,SLA
1.0147E-71,0.29194131,0.331,0.247,3.5056E-67,6-7,GBP1
6.36211E-63,0.278883716,0.292,0.215,2.19798E-58,6-7,LILRA3
9.56956E-54,0.359865439,0.608,0.534,3.30609E-49,6-7,AC009501.4
1.09457E-47,0.404447575,0.235,0.177,3.78151E-43,6-7,IFIT2
1.01314E-26,0.269490926,0.336,0.29,3.5002E-22,6-7,APOBEC3A
0,0.739082123,0.37,0.108,0,0,IL1B
0,0.705658981,0.526,0.181,0,0,CD83
0,0.630888277,0.393,0.142,0,0,ATF3
0,0.621563632,0.482,0.183,0,0,HLA-DQB1
0,0.610861951,0.741,0.436,0,0,HLA-DPA1
0,0.598754994,0.372,0.123,0,0,DUSP2
0,0.588817229,0.589,0.321,0,0,BTG2
0,0.573949941,0.521,0.24,0,0,NR4A2
0,0.550688501,0.492,0.251,0,0,CXCR4
0,0.543725426,0.671,0.403,0,0,HLA-DRB5
0,0.533802527,0.279,0.102,0,0,PTGS2
0,0.522646196,0.44,0.215,0,0,MS4A7
0,0.501898468,0.931,0.768,0,0,EEF2
0,0.490060451,0.662,0.39,0,0,HLA-DPB1
0,0.489872731,0.286,0.079,0,0,PMAIP1
0,0.468307138,0.575,0.38,0,0,NAP1L1
0,0.453767281,0.886,0.669,0,0,HLA-DRA
0,0.439309658,0.479,0.29,0,0,AHR
0,0.416668077,0.645,0.412,0,0,HSPA8
0,0.408408143,0.653,0.446,0,0,OGFRL1
0,0.403488143,0.19,0.051,0,0,OSM
0,0.39771301,0.34,0.162,0,0,DNAJB1
0,0.394145105,0.539,0.303,0,0,CD4
0,0.392725416,0.441,0.242,0,0,IER5
0,0.38957192,0.2,0.059,0,0,ZNF331
0,0.388825794,0.727,0.538,0,0,DDX3X
0,0.385618678,0.641,0.428,0,0,PNRC1
0,0.385044249,0.688,0.49,0,0,FOSB
0,0.381255669,0.765,0.573,0,0,JUNB
